ok,seed,r_minus,null_mode,trial,index_slope,scale_r2,log_points_used,boot_p05,boot_p50,boot_p95,thickness_product_proxy
True,1,0.72,None,0,1.8150434117231677,0.9974049443653928,6,1.714714068679708,1.8109168784079541,1.9043067855850948,0.05555555555555555
True,1,0.72,None,0,1.8148317358201946,0.9982649983448492,6,1.7432055985800436,1.8105128256933871,1.8988472347532788,0.05555555555555555
True,2,0.72,None,0,1.8135518320303068,0.9974346593007061,6,1.7137363055131898,1.8093365312522942,1.9032774234524248,0.01764705882352941
True,2,0.72,None,0,1.8150003018982919,0.9981937573863598,6,1.7418953317528465,1.8098800589603994,1.9020899092630907,0.01764705882352941
True,3,0.72,None,0,1.8181020429705061,0.9973925858446323,6,1.7175669493586754,1.8146601654135348,1.911436876972849,0.17857142857142855
True,3,0.72,None,0,1.8153485455385416,0.9982335152748835,6,1.7434893969325551,1.8105869216094317,1.901218120919519,0.17857142857142855
True,4,0.72,None,0,1.8121865555128553,0.9975912120982666,6,1.7194007495697337,1.8077857830363835,1.9037375737335815,0.07017543859649122
True,4,0.72,None,0,1.8180812609375092,0.9983297168612901,6,1.7460414379024118,1.8143454204038396,1.899086499143747,0.07017543859649122
True,5,0.72,None,0,1.8112840786073603,0.9974413270879252,6,1.7127975624072407,1.8070063853346432,1.900387203510266,0.08333333333333333
True,5,0.72,None,0,1.8167841722513034,0.9982056496315284,6,1.7438998009583142,1.8129902246775287,1.901057532756167,0.08333333333333333
